DATE,STRESS_FLAG,GR_MAGNITUDE_NET_INTEREST_INCOME,GR_MAGNITUDE_EQUITY_TO_LOAN_RATIO,GR_MAGNITUDE_INTEREST_MARGIN_RATIO,GR_MAGNITUDE_DER,GR_MAGNITUDE_ASSET_COVERAGE_INDEX,GR_MAGNITUDE_RESERVE_STRESS_INDEX,GR_MAGNITUDE_RESERVE_TO_BORROWING_RATIO,GR_MAGNITUDE_RESERVE_SENSITIVITY,GR_MAGNITUDE_LAR,GR_MAGNITUDE_TDR,GR_MAGNITUDE_BORROWINGS_LOAN_RATIO,GR_MAGNITUDE_LDR,GR_MAGNITUDE_REAL_ESTATE_LOAN_RATIO,GR_MAGNITUDE_RESERVE_TO_DEPOSIT_RATIO,GR_MAGNITUDE_INTEREST_RATE,GR_MAGNITUDE_DELINQUENCY_RATES_LOANS,GR_MAGNITUDE_LOAN_CHARGE_OFF
1990-01,0,0.5619224018780455,0.7099822628033658,0.559429546072221,-27.142575780420742,0.4603956526448849,4.960168090437933,40.058228669939886,1.7500047971822585,0.44291594431291603,1.2969998891054102,27.090797850561987,0.623307357544256,0.5225989722840163,1.0074091229591353,-2.144879011986167,1.5146102392831429,-4.5575405964180415
1990-02,0,0.09038438439843421,0.6411461157400211,-0.38946899259613144,-41.28864348133108,0.47958889660462134,8.150175035062235,45.097638784324936,2.1726245291374013,0.45874290294456443,1.3206204897477258,41.264471729529696,0.5722278946428405,0.6085735904488798,0.877611031152381,-2.347435380569074,2.053551417954713,-3.450966906825137
1990-03,0,0.16440510811424058,0.49147322433353846,-0.28588061252017294,88.53788148880662,0.5844211978823122,7.809929502615653,48.0796053518276,3.2755278086686213,0.5245031398117161,0.9108916528972832,88.75621974899508,0.7891991722158487,0.6327474748625717,2.296131599250284,-1.2931132135170387,1.9697751232106597,-2.745786031968467
1990-04,0,0.23812899806447962,0.32498493962098696,-0.20123744600082372,98.607078934421,0.3585038219468206,5.9528016922131055,46.89505925576447,2.802446790823576,0.32485372265516066,0.19701264177804934,99.25252202997903,0.4883520000498853,0.5629528366441816,2.1096114241085484,-1.0642668939576438,-1.911947985637008,-2.002546327376975
1990-05,0,0.31155728211038625,0.15510370301996534,-0.12246735593199887,81.18979246265606,0.2967156511637814,2.7456803605445,46.1044071096943,3.2174282934733123,0.23562210926253435,0.4966970391662606,81.34605833013093,0.5082695096301215,0.5506470788733342,3.124504780361126,0.28271555925274416,-1.879894270003768,1.2196323958554078
1990-06,0,0.33255145150381527,-0.23478943300694333,-0.0770492332584638,-28.69069100635404,0.30539940216036676,2.1091510812100367,28.618606990832674,2.8554213286403396,0.26419833639668155,0.61142153282987,28.857087590222854,0.46805861949235084,0.5685371736362299,2.4259623694713683,-0.5647151958871,-2.0727484667857787,1.1387448963590785
1990-07,2,0.3534065097470007,-0.306554706070572,-0.0699037473555375,-25.061723532883494,0.4953138395851653,2.4832540434380546,35.41919310831696,3.9416432109481647,0.4320060081569155,0.8157566861742627,25.22528274760143,0.5999359836272422,0.5822486569911023,2.471342648121455,0.8505633678034252,2.235267250892603,1.059681553822256
1990-08,2,0.37412383850543574,-0.3259672413383097,0.07970182114360735,-21.403741378975006,0.4961911098417815,2.260572919294823,28.040749776465155,3.2703054972655687,0.4662378106949916,0.7028519163868374,21.651040990446724,0.5917446418902017,0.7256032345741126,1.6951584807143538,-1.3335890309883691,2.367738120340346,0.982381162273982
1990-09,2,0.3720709668416644,-0.3796802150146661,0.09461769937881837,-23.195841868695922,0.45234757584116103,1.0106994927976398,28.758288736827218,2.1643851760802635,0.45391709548945336,0.9677136301564637,23.117969269550542,0.456601213879293,0.5325955609674526,0.9686494036753146,-1.0910962759311582,2.957887872492404,3.234156801726118
1990-10,2,0.3700333153071611,-0.327828664767571,0.149694978759074,-22.810567072942533,0.3170287912826808,1.3420372948059311,27.71520645288943,1.7670092843289131,0.31914594982487277,1.1009153267634852,22.703029328941327,0.3444151945521723,0.4654053573725614,0.9440070114506094,-0.9299983652084842,3.5145126199177312,5.350625299536937
